scenario,lambda,mu_nurse,mu_doctor,s_nurse,s_doctor,s_nurse_max,s_doctor_max,Tmax,nurse_price,doctor_price,total_cost,patient_loss,hospital_overload,system_stable,nurse_utilization,doctor_utilization,optimal_nurses,optimal_doctors,nurse_queue_time,doctor_queue_time,system_total_time
small_emergency,21.20177773232214,8.542177532239162,13.889764996309985,10,3,8,4,0.5,150,500,3000,0,1,1,0.24820108985448014,0.5088105699401608,5,3,3.6152856192799075e-05,0.1671950451716809,0.3562928257353658
small_emergency,16.003558131664175,8.511299319999925,12.776465888772027,3,4,8,4,0.5,150,500,2450,1,0,1,0.6267573465177393,0.31314524436933927,4,3,0.34806418653864896,0.015467810805988566,0.55929177721709
small_emergency,14.922449293727563,5.649711555863291,10.40442874318073,8,4,8,4,0.5,150,500,3200,0,0,1,0.33015953881399906,0.3585600339544839,5,3,0.0011659695891274957,0.02532976767877997,0.29960884129721804
small_emergency,13.757191840233434,8.13317230439788,14.545088823514265,4,4,8,4,0.5,150,500,2600,0,0,1,0.4228728755935263,0.23645768010011942,5,2,0.04638221905346745,0.005547061174269278,0.2436342628581042
small_emergency,12.228788340334493,9.736184978412348,11.013763318706422,5,5,8,4,0.5,150,500,3250,0,1,1,0.25120287602277264,0.2220637576179688,3,3,0.002644539661035521,0.001530594912308488,0.19768025563253971
small_emergency,11.658714188280005,5.295474164256476,13.697327186113302,10,5,8,4,0.5,150,500,4000,0,1,1,0.22016374410764356,0.170233418970964,6,2,1.341305803288992e-05,0.00046166126933105874,0.2623225205063008
small_emergency,19.44927319556271,8.018878114980122,11.782828751440363,6,5,8,4,0.5,150,500,3400,0,1,1,0.4042392821183092,0.33012909897693593,5,3,0.011686920122849335,0.008711818717026813,0.2299737263784583
small_emergency,18.618267039723982,8.746976171145748,10.40938587486954,10,3,8,4,0.5,150,500,3000,0,1,1,0.21285375283336588,0.5962012637291254,4,4,1.010476328016211e-05,0.28883180825400634,0.49923428257366964
small_emergency,16.660059365139237,9.909581346765812,13.636075901734095,7,5,8,4,0.5,150,500,3550,0,1,1,0.24017245506652402,0.2443526933290329,3,3,0.0003469086631504775,0.0023405330706242865,0.17693475913440943
small_emergency,30.825914621874034,9.432398011271776,14.520985993459743,5,5,8,4,0.5,150,500,3250,0,1,1,0.6536177668719423,0.4245705441181203,5,4,0.1776669030268236,0.025707848821470793,0.37825817772805426
small_emergency,18.752009659308975,5.087084605032513,11.649505149577081,7,3,8,4,0.5,150,500,2550,1,0,1,0.5265999547379857,0.5365609788724156,8,3,0.02884271382293377,0.1995968355503295,0.5108563524786379
small_emergency,17.307414328100627,9.224909422327752,14.260880276364638,7,3,8,4,0.5,150,500,2550,0,0,1,0.2680229851550501,0.40454291723691094,4,3,0.0006629538614280342,0.08117345250072902,0.2603604532950051
small_emergency,11.384422280037162,9.060071869128432,13.19970638056726,8,4,8,4,0.5,150,500,3200,0,0,1,0.1570685978610831,0.21561885453750362,4,2,7.718397445115728e-06,0.003951660662334572,0.19009304038350233
small_emergency,10.40774976617643,7.767626326135504,10.934198408582695,8,2,8,4,0.5,150,500,2200,1,0,1,0.16748600745567824,0.4759265095284427,3,3,1.2168798028950997e-05,0.2928349216790178,0.5130427264395979
small_emergency,21.103588432357867,6.993898484720288,11.457094851053757,6,5,8,4,0.5,150,500,3400,0,1,1,0.5029047456737542,0.36839336161063346,5,4,0.03399961814874383,0.013973923006624181,0.27823747459357145
small_emergency,18.99368836674728,8.933882810254008,11.448123415553601,10,4,8,4,0.5,150,500,3500,0,1,1,0.21260283764800414,0.41477733243472364,5,3,1.0004986002498986e-05,0.043188287635579234,0.24248226702044945
small_emergency,14.544530317492821,9.736991511496244,14.773344309308705,4,2,8,4,0.5,150,500,1600,1,0,1,0.3734349131433571,0.4922558498933885,5,2,0.029381689970788827,0.31981111485697744,0.5195834120362777
small_emergency,28.569710327598976,8.750925772638634,10.369163546628,9,5,8,4,0.5,150,500,3850,0,1,1,0.36275159235694665,0.5510513977164475,1,1,0.0012132789643755264,0.08013136136209809,0.2920580585153617
small_emergency,17.080808409530412,9.013941698451646,13.381363233765608,4,4,8,4,0.5,150,500,2600,0,0,1,0.4737330510043247,0.3191156257986832,4,3,0.07084434543728295,0.016568501551738182,0.2730829061088529
small_emergency,17.652409309042966,8.522859910382568,11.028600096640629,9,4,8,4,0.5,150,500,3350,0,1,1,0.23013153245972387,0.40015072525886547,5,3,4.566891670039967e-05,0.037843886134974886,0.24589440180604982
small_emergency,14.51174466320721,6.260602171569995,10.752783849519707,9,4,8,4,0.5,150,500,3350,0,1,1,0.2575496780504324,0.33739506127651314,5,3,0.0001056591790359378,0.02029293174032127,0.2731268074554791
small_emergency,10.469834702764475,6.1073319299515365,11.793006681751274,3,5,8,4,0.5,150,500,2950,0,1,1,0.5714352750021866,0.17756005716448375,6,2,0.24807227993037181,0.000559257104496799,0.497165175311117
small_emergency,10.668480587210322,9.353482032124965,13.807105256131123,3,3,8,4,0.5,150,500,1950,0,0,1,0.38019639996345506,0.25756015687340694,3,2,0.06726774724082656,0.02137932776789229,0.2679856091955147
small_emergency,25.641100045183137,5.715416605418355,14.093653822379038,10,5,8,4,0.5,150,500,4000,0,1,1,0.4486304641532998,0.3638673174229402,7,4,0.003365695695235052,0.013250568344212994,0.26253555835740994
small_emergency,31.103144136319052,7.149258585480581,13.973262868102731,9,5,8,4,0.5,150,500,3850,0,1,1,0.4833934683876231,0.44518083471140185,7,4,0.008224628831045746,0.031524489625962375,0.25118900891381635
small_emergency,25.280985915350676,8.443724948339106,14.026289881079926,5,4,8,4,0.5,150,500,2750,0,0,1,0.5988112135349336,0.4506000184241918,7,3,0.11699343868349406,0.058715616301865614,0.36543488915304595
small_emergency,14.017645307009339,9.015164028088755,11.504224403126372,9,5,8,4,0.5,150,500,3850,0,1,1,0.17276625698328626,0.243695616771869,3,3,5.02073861742307e-06,0.002312825704899648,0.20016665314161008
small_emergency,15.64680480925956,7.306477703033071,13.807326164745199,10,4,8,4,0.5,150,500,3500,0,1,1,0.21414976470487615,0.2833062068384242,4,3,1.063388012029843e-05,0.01074093508162058,0.22004174125714288
small_emergency,17.303134132325653,8.74484042568704,11.051593431046525,4,5,8,4,0.5,150,500,3100,0,1,1,0.4946669490245795,0.31313374384036025,4,3,0.08346648536765562,0.0069305811581182805,0.2952349004230794
small_emergency,18.85633307327314,7.186847306964626,11.165706132914181,7,3,8,4,0.5,150,500,2550,0,0,1,0.3748182968907631,0.562924035697978,6,3,0.004494220289539866,0.23535012250766085,0.4685473556561425
small_emergency,27.75648937630436,7.769892982904635,10.427620104772734,6,5,8,4,0.5,150,500,3400,0,1,1,0.5953854928112557,0.5323647984375683,1,1,0.07874207879243869,0.06871631323108904,0.37205945250120626
small_emergency,11.979843384628213,8.369185429468871,14.373491617338203,8,2,8,4,0.5,150,500,2200,0,0,1,0.178927858116959,0.41673393297761335,4,2,1.9369121314789188e-05,0.21016612771283277,0.3992439559620077
small_emergency,19.31838391959727,6.855006410330809,12.602200694261365,6,5,8,4,0.5,150,500,3400,0,1,1,0.46969039276373686,0.30658746655882474,5,3,0.024339105810134598,0.006323572291399457,0.25589268219947786
small_emergency,12.19360369456291,9.175050391164431,14.01531311746305,7,4,8,4,0.5,150,500,3050,0,0,1,0.18985654690409648,0.21750501741145023,4,2,8.372027743713188e-05,0.00408047981826789,0.18450595574543233
small_emergency,18.448709664565474,5.892283046930598,11.362852280146058,8,3,8,4,0.5,150,500,2700,0,0,1,0.3913743942209242,0.541199492572251,7,3,0.0033709035592215815,0.20551260308217453,0.4666030825863912
small_emergency,32.845329467117736,8.206137886009774,12.759785646953357,6,4,8,4,0.5,150,500,2900,1,0,1,0.6670886663000968,0.6435321559449587,7,4,0.1428706650017406,0.24217661105559457,0.5852785030926575
small_emergency,17.09486216288999,7.1992293845092235,11.401646614108307,10,3,8,4,0.5,150,500,3000,0,1,1,0.23745405584205256,0.4997775830535724,5,3,2.513322602696857e-05,0.1576656812390748,0.3843012001276873
small_emergency,21.891458494420455,8.85701993319048,12.272086449254434,10,5,8,4,0.5,150,500,4000,0,1,1,0.2471650584457328,0.3567683227288613,6,3,3.4936545125493084e-05,0.012173694743739576,0.20659916032493844
small_emergency,26.483510974748373,7.5861351332639995,10.983539956310238,6,4,8,4,0.5,150,500,2900,0,0,1,0.5818402148463008,0.6027999870736831,6,4,0.07007412801756845,0.18292431334005732,0.4758631983379308
small_emergency,28.32224915741767,8.108235244318351,13.798560339233063,10,4,8,4,0.5,150,500,3500,0,1,1,0.3493022625023589,0.5131377560615835,6,4,0.0005350562655888375,0.09606741394986082,0.2924051982561188
small_emergency,14.56808292433335,6.583813723330187,10.958819571448574,4,3,8,4,0.5,150,500,2100,0,0,1,0.5531779731521856,0.44311594052483916,4,3,0.12891654272975395,0.10746593525773838,0.47952083274430723
small_emergency,15.113189980091462,9.658095381029828,10.244401265842948,6,4,8,4,0.5,150,500,2900,0,0,1,0.2608034915071762,0.36881584359844705,4,3,0.0013003177017867572,0.028075675839817054,0.23053037110461566
small_emergency,10.438067001227916,8.857590865755993,11.786601556485293,6,3,8,4,0.5,150,500,2400,0,0,1,0.1964053047723948,0.2951958332010927,4,2,0.0002954328720238933,0.03180875861171997,0.2298438043828409
small_emergency,12.513149986931573,8.658801082149022,10.69488800352695,9,5,8,4,0.5,150,500,3850,0,1,1,0.16057072859824637,0.23400245019499033,3,3,2.815731233068829e-06,0.0019321366679241616,0.21092699765477763
small_emergency,14.089196993391297,9.872946553702878,13.671634889370392,7,4,8,4,0.5,150,500,3050,0,0,1,0.20386441035401362,0.2576355554291747,3,3,0.0001293606099832389,0.007594064703589097,0.1821544518190259
small_emergency,10.447933841717363,7.977527478100925,11.655943905624842,9,2,8,4,0.5,150,500,2350,0,1,1,0.14551896451066154,0.4481805131489812,4,2,1.28311540023728e-06,0.2513542348965704,0.4625007779566205
small_emergency,18.039346779025927,6.852873937652446,14.01526166336415,4,4,8,4,0.5,150,500,2600,1,0,1,0.6580942150383979,0.32178041360049525,5,3,0.2676035289731077,0.017077660261719998,0.5019561583657894
small_emergency,33.103018586068195,6.270263557852937,12.040148586032057,7,5,8,4,0.5,150,500,3550,1,1,1,0.7541951963454473,0.5498772436159378,1,1,0.2295336196604175,0.07936974779265686,0.551441750217866
small_emergency,11.446892311213432,8.210933980284068,14.997695060814198,10,3,8,4,0.5,150,500,3000,0,1,1,0.13941035622378017,0.25441447868705586,3,2,2.559432058618431e-07,0.020629828324198254,0.20909582148637157
small_emergency,11.353157598702781,6.494482458515678,12.049349766539232,10,2,8,4,0.5,150,500,2500,1,1,1,0.17481235296611394,0.4711107992827231,4,3,1.8778122470793667e-06,0.28525681999596847,0.5222275855239984
small_emergency,11.906383197044828,6.012860617590693,13.301286822256099,7,2,8,4,0.5,150,500,2050,0,0,1,0.2828789811485204,0.4475650873539063,6,2,0.000908019929338697,0.2504916111099727,0.49289051833589215
small_emergency,33.477204306370126,7.700840032977281,14.433854284679738,9,4,8,4,0.5,150,500,3350,0,1,1,0.4830238456383518,0.579838268526502,7,4,0.008183927799842868,0.1558198975809026,0.36314135263186786
small_emergency,16.13191854918091,9.934878131351754,10.986748171580663,4,3,8,4,0.5,150,500,2100,0,0,1,0.40594153083451,0.4894356454778621,4,3,0.03989610671044802,0.14731513020858755,0.37888546651205723
small_emergency,15.58360667659559,8.909941055992142,10.63991414284263,10,5,8,4,0.5,150,500,4000,0,1,1,0.17490134422511416,0.29292730124290595,4,3,1.88612142345923e-06,0.005186542687643706,0.2114083376631662
small_emergency,20.566787278994006,9.147476634743263,10.737287252516158,9,5,8,4,0.5,150,500,3850,0,1,1,0.24981737344651075,0.38309093899251734,4,4,8.433122378205063e-05,0.01653173855045347,0.21906922881643137
small_emergency,16.429779379160436,5.734270355418202,11.799760267328596,7,5,8,4,0.5,150,500,3550,0,1,1,0.40931298916911407,0.27847649455475004,5,3,0.007313405469155338,0.004158859993115616,0.2706098532960956
small_emergency,11.791344616708992,6.48058424439963,11.923318212160702,10,4,8,4,0.5,150,500,3500,0,1,1,0.18194878998600778,0.247232867707139,4,3,2.6544462259866018e-06,0.006531121028738392,0.24471012108943715
small_emergency,24.6796369128862,9.482842933508548,13.284342553795714,5,5,8,4,0.5,150,500,3250,0,1,1,0.5205113505714262,0.37155977893440467,5,4,0.062207848980685924,0.014497549885306642,0.25743559612429295
small_emergency,18.868469589669207,7.086826453112353,12.591515895615501,10,5,8,4,0.5,150,500,4000,0,1,1,0.26624709543130776,0.2997013186671099,5,3,6.39266040957413e-05,0.005729195852005259,0.22631856188690833
small_emergency,21.228567425927075,6.983583771437976,14.560534037221442,5,5,8,4,0.5,150,500,3250,0,1,1,0.6079562620197779,0.29159050583804114,5,3,0.12555571339756252,0.005084201019789741,0.3425116695408694
small_emergency,20.904475428027766,9.845816781280458,10.625600327170817,7,5,8,4,0.5,150,500,3550,0,1,1,0.3033119241313992,0.3934737762453336,4,4,0.0013584326765749368,0.018543431810305957,0.21558017099257948
small_emergency,28.897382648040857,9.68635948084251,10.986954154654004,10,4,8,4,0.5,150,500,3500,0,1,1,0.29833068559135684,0.657538527995953,6,4,0.0001582322116039212,0.2665857828522531,0.4609990116587806
small_emergency,13.329572260570849,7.071557427446091,11.225399633888816,6,3,8,4,0.5,150,500,2400,0,0,1,0.31415927814421246,0.39581581934151244,4,3,0.003348135477995558,0.0759670757560613,0.30981046395706013
small_emergency,25.560262366403183,9.850459993306096,10.763048976169816,5,5,8,4,0.5,150,500,3250,0,1,1,0.5189658631936523,0.4749632269256693,5,4,0.06139830445674454,0.04170247072286508,0.29752935260801616
small_emergency,12.39174883747153,6.335781455759209,14.130514146800405,6,5,8,4,0.5,150,500,3400,0,1,1,0.32597265030891764,0.17538992153767333,5,2,0.004028895223414661,0.0005288522573281262,0.23316030767594176
small_emergency,10.896439789521011,6.963373670715863,14.529062152108384,6,3,8,4,0.5,150,500,2400,0,0,1,0.2608036541096325,0.24999181354454628,4,2,0.0013003218678335898,0.019605979919845324,0.23334241945590573
small_emergency,11.45449118484354,8.005653673218816,14.220579658018575,3,2,8,4,0.5,150,500,1450,1,0,1,0.47693341282724,0.40274346968636693,4,2,0.13555405979025675,0.19360557188785482,0.5243919769448734
small_emergency,16.134827516423556,8.939033526268334,11.222916555238415,8,3,8,4,0.5,150,500,2700,0,0,1,0.22562321011843156,0.47922265235924655,4,3,9.580101137900473e-05,0.1376483626077125,0.3387164786143719
small_emergency,21.644830399088022,8.567146531423031,13.780562399227076,6,4,8,4,0.5,150,500,2900,0,0,1,0.42108206273228344,0.3926695763937406,5,3,0.014273241250273022,0.035311471975722215,0.23887567122496814
small_emergency,24.58419098664999,8.34160670511389,10.213732247874036,8,4,8,4,0.5,150,500,3200,0,0,1,0.3683971184409002,0.6017435739948815,6,4,0.002319558620492486,0.18158790284904006,0.40169584614382203
small_emergency,19.806678738920887,5.8699909301931985,14.069421653209131,6,5,8,4,0.5,150,500,3400,0,1,1,0.5623710772999153,0.2815564026315628,6,3,0.05906723625472265,0.004363729295380713,0.3048651070329192
small_emergency,29.0831479240421,6.4174384117148815,12.461594597468698,6,5,8,4,0.5,150,500,3400,1,1,1,0.7553155963016724,0.46676446897012214,7,4,0.2938334992557642,0.038673249984444706,0.5685787157478296
small_emergency,13.65960799877495,7.720649139572157,11.059929640247706,5,5,8,4,0.5,150,500,3250,0,1,1,0.3538461015865281,0.24701075762845487,4,3,0.01175025745514959,0.0024551806443907347,0.23414471427381642
small_emergency,11.3076098812641,6.240804745270639,13.861606901095207,6,3,8,4,0.5,150,500,2400,0,0,1,0.3019805495926667,0.2719167640987492,4,2,0.0027435970984856666,0.025031564116312435,0.26015261475659823
small_emergency,21.579788697363735,6.694744289563755,14.605689734949294,10,5,8,4,0.5,150,500,4000,0,1,1,0.32233925246411355,0.2954983857520461,6,3,0.00028933251957801684,0.0053877305283105735,0.22351443482788394
small_emergency,10.284838440316296,5.25815695632414,10.671360336387249,5,3,8,4,0.5,150,500,2250,0,0,1,0.39119556626952406,0.3212598368003441,4,3,0.018086810550475448,0.040768884484007575,0.34274516580179043
small_emergency,19.469860014289782,8.467998756983082,14.577544929783734,4,5,8,4,0.5,150,500,3100,0,1,1,0.5748070049677937,0.2671212485788391,4,3,0.1503912806891064,0.0034654678734476877,0.340547061697708
small_emergency,11.343011192063702,6.02367800844493,13.618413744497767,5,2,8,4,0.5,150,500,1750,0,0,1,0.37661412765294894,0.4164586054174851,5,2,0.01536416589854521,0.20983026290929133,0.4646359495038572
small_emergency,11.773830615199683,5.037417622637969,14.510675838760214,5,4,8,4,0.5,150,500,2750,0,0,1,0.46745501354855007,0.20284772994084116,6,2,0.03892142374887238,0.0031546366016285674,0.30950525059562606
small_emergency,26.97196586011738,8.762085216014658,13.64744781484972,10,5,8,4,0.5,150,500,4000,0,1,1,0.3078258792875025,0.3952675434416289,5,4,0.0002022817360970704,0.018909126703720944,0.20651326621679403
small_emergency,34.78603793830689,9.451861800770594,13.618998055288348,8,5,8,4,0.5,150,500,3700,0,1,1,0.4600421413201212,0.5108457728988256,7,4,0.008982679608802602,0.05728622131671467,0.24549500325174695
small_emergency,24.881136255700508,8.753713100583703,12.260132023632917,8,5,8,4,0.5,150,500,3700,0,1,1,0.3552940330835354,0.4058869220615088,5,4,0.001850815285236266,0.021188864973590328,0.21884210764433853
small_emergency,17.09905794388748,9.744428871695195,13.143708460290863,7,5,8,4,0.5,150,500,3550,0,1,1,0.25067888488651335,0.26018620232708795,4,3,0.00044721704527687006,0.0030872299204792765,0.1822392163085239
small_emergency,21.90979918270038,7.874318351444494,14.604676189755946,10,5,8,4,0.5,150,500,4000,0,1,1,0.2782437565364774,0.30003813707377386,5,3,9.10543833795841e-05,0.005757248418638989,0.2013146425444265
small_emergency,12.62610020743563,5.634744104250061,10.956968731643894,8,3,8,4,0.5,150,500,2700,0,0,1,0.28009480053211894,0.3841117166822262,4,3,0.0004043885718097272,0.06937614224565926,0.3385169972289588
