scenario,lambda,mu_nurse,mu_doctor,s_nurse_max,s_doctor_max,Tmax,nurse_price,doctor_price,optimal_nurses,optimal_doctors,system_total_time,patient_loss,hospital_overload,arrival_pattern,lambda_variance,uncertainty_penalty
standard,12.981805832971299,5.9811373438267585,3.856456181286129,14,12,20.318827189768253,73.70264702549575,443.7420427211019,3,4,2.124411073049217,0.0,0.0,poisson,,
standard,7.339736711695129,5.039339989391026,3.703235600765803,16,5,19.35454349071042,106.21920554599939,332.8013767081428,2,3,2.025973248977519,0.0,0.0,poisson,,
standard,17.45545603130299,7.440223223396597,2.276945688714849,20,11,30.897529332156985,85.27357735265076,229.16015079874185,3,8,4.122265958197344,0.0,0.0,poisson,,
standard,20.608973040440134,4.113607976845528,3.940707749186732,14,14,33.44338261650624,130.5050719855687,491.2430989511522,6,6,1.9677620517364696,0.0,0.0,poisson,,
standard,21.710144916936148,3.5708449918445657,3.283795235467494,11,11,41.34181232819098,65.34284727106706,385.97381023686796,7,7,3.4399639155986845,0.0,0.0,poisson,,
standard,5.845302075195478,6.935154264071672,3.9861813937337947,17,15,19.550848415363227,100.26518418612443,415.6382029009419,1,2,6.920966497311422,0.0,0.0,poisson,,
standard,29.02687559152415,5.111194591965022,2.4187575608225194,12,15,56.58839678269221,120.87096284481147,331.20332329417454,6,13,3.983203190090417,0.0,0.0,poisson,,
standard,10.493933283486708,7.503212952018827,1.059400046708779,15,15,33.40458345212288,117.24860362370657,293.6707147723968,2,10,12.258293588610108,0.0,0.0,poisson,,
standard,22.816214105759645,3.84015229551384,3.521071408153447,8,14,16.731574723708572,78.09048089842727,342.8165989899464,7,7,2.620204129806746,0.0,0.0,poisson,,
standard,22.171987651711664,4.7318093157405725,2.5754510311039844,14,14,26.768246213116576,99.58522481094755,450.2011111449183,5,9,5.483867435678614,0.0,0.0,poisson,,
standard,12.932404571895841,6.368198897087746,3.117139123198472,8,8,31.42867494671578,122.87697493797766,288.1127177220258,3,5,1.6714417021729975,0.0,0.0,poisson,,
standard,10.856696251791192,5.692605721423455,3.9718427147751125,5,3,38.26934119217351,138.243721632862,420.22325394887275,2,3,13.593376919514826,0.0,0.0,poisson,,
standard,19.96344528822916,5.033860719690869,2.159972309633816,14,14,25.237800062842293,78.01331325243169,369.84196239628807,5,10,2.164989078418822,0.0,0.0,poisson,,
standard,7.644167006659627,7.030478095676668,1.2709780392049244,15,12,10.349771961068313,146.90097170165535,262.37307333380375,2,7,1.9763442510635603,0.0,0.0,poisson,,
standard,21.21613256606506,3.7437381377892964,2.4157405040404702,15,10,21.09072272065923,80.44550431392629,301.11221904020596,6,9,7.459027224604043,0.0,0.0,poisson,,
standard,10.208111312521037,6.007888058820969,1.4326041852919433,19,10,24.83946799524083,51.650651590338,327.39785389281394,2,8,4.231999358882107,0.0,0.0,poisson,,
standard,27.44113555260949,3.8404501623131813,3.6906696185732355,13,8,38.07450161292685,110.12917910127915,328.60506324001005,8,8,2.7184628675555413,0.0,0.0,poisson,,
standard,13.628165900926376,3.7195120162606123,3.993194170676306,14,7,38.200923627522386,123.03314720473755,416.1003627918092,4,4,4.145057755053999,0.0,0.0,poisson,,
standard,6.052680285292156,4.655532265934459,3.432944386211296,3,5,17.183371614655613,65.77060210762087,436.8915224023456,2,2,4.725118006185389,0.0,0.0,poisson,,
standard,13.350587721000348,2.95996588146849,2.9634821157487585,7,7,12.706351648014849,95.1145262762619,360.64349038049374,5,5,3.787154283888118,0.0,0.0,poisson,,
standard,21.34736416533954,4.971914777504704,3.7974895513621827,10,15,45.19921063364471,58.67339338440068,465.710033890806,5,6,3.614249326551411,0.0,0.0,poisson,,
standard,8.001557564057755,7.8517536459945,3.9522474475375757,10,7,39.89651931221736,95.38652264529068,223.22557867411035,2,3,1.1985651497207346,0.0,0.0,poisson,,
standard,14.608354400290443,6.6556291573554995,2.1337505641510455,5,12,42.47794911645852,61.74181889998233,320.71389563947776,3,7,7.3719122599492195,0.0,0.0,poisson,,
standard,37.89640629815344,6.272804207213094,3.916766361338476,9,10,53.01507199242073,128.62739899070618,241.93852956727952,7,10,3.7959057955726303,0.0,0.0,poisson,,
standard,9.858863031792875,7.288715111391846,2.36455036913541,9,9,47.09471663958874,64.44010502982509,224.09507798330804,2,5,2.151101416823174,0.0,0.0,poisson,,
standard,5.8820864591029345,7.585427562348318,3.618553475401536,13,4,52.69183693403762,103.49868080623801,403.40862352379406,1,2,5.80774933883246,0.0,0.0,poisson,,
standard,17.750929382374792,7.752907358826476,2.2693452043906293,4,14,16.519789489183793,108.13833864740653,409.8906456820787,3,8,6.618780645817227,0.0,0.0,poisson,,
standard,7.049251383073721,7.449008689492124,2.6404918062426566,18,8,17.685317408881442,121.5013901612143,218.41655968024122,2,3,3.221057929648076,0.0,0.0,poisson,,
standard,9.690393169196755,5.803165188457821,1.9223099738568514,13,8,50.19184086621571,128.37919652380182,230.959668756299,2,6,3.622040070914313,0.0,0.0,poisson,,
standard,15.42329611837799,6.785848101443165,3.9334266747241378,16,12,28.731136550796023,121.18422704967062,266.79065278813226,3,4,13.320301898906505,0.0,0.0,poisson,,
standard,11.062502983276339,2.316432120060769,3.591700450289489,20,4,42.19048585867469,89.37770549070565,227.30309915953708,5,4,5.2683272229791775,0.0,0.0,poisson,,
standard,8.654763173488803,3.9922051180752005,2.743531782789992,8,8,17.340156519055757,88.9109358217056,246.05354630493588,3,4,1.9286233284350218,0.0,0.0,poisson,,
standard,13.980109076495872,3.8546172847826847,2.647683296147058,10,9,34.80462414313219,110.81445798197223,426.4818707232836,4,6,3.7468013102517803,0.0,0.0,poisson,,
standard,15.114009367710878,3.4004123194802247,3.445638012537002,16,12,16.89551190661438,89.05107021794552,234.83651444655598,5,5,3.0746205348667375,0.0,0.0,poisson,,
standard,11.174708528321133,3.2007472879244387,3.2001759863508137,9,4,11.001956401249915,65.56384524962016,343.22554281424596,4,4,3.5112877451292315,0.0,0.0,poisson,,
standard,8.40618620103837,4.6641029458910666,2.1787196403370293,8,5,37.19870954701599,90.0486893515008,310.01545106947395,2,4,11.506465768015602,0.0,0.0,poisson,,
standard,10.052879754023987,3.8448457832346925,3.151974335517857,8,4,10.868611367379208,69.40700404026565,390.88626798018834,3,4,3.298410306036105,0.0,0.0,poisson,,
standard,10.692102479073416,2.9305607159656506,3.1287380242398517,5,13,51.10187247318009,81.48133435282035,308.1296746035056,4,4,4.169481528013168,0.0,0.0,poisson,,
standard,13.963136952322962,2.741050249644883,2.9410385954889353,20,9,23.187001679602766,107.70034395577875,287.3416020891732,6,5,4.865965562115639,0.0,0.0,poisson,,
standard,10.872994309949775,5.36674820304704,3.828325775907035,15,9,43.833792611452466,98.13893829191693,380.4533039782138,3,3,6.552754411401708,0.0,0.0,poisson,,
standard,9.132648167540701,3.363323409278779,3.187648469280706,12,8,57.6130707504024,114.00606581413851,231.60299227240213,3,3,10.300522524920433,0.0,0.0,poisson,,
standard,12.207606959166714,5.400884055825499,3.0911587338048103,9,14,14.745141732715158,106.5279924903331,371.7025541119241,3,5,1.7922513437250869,0.0,0.0,poisson,,
standard,6.224114902621523,2.2854489046815107,1.195031995126242,5,6,23.552388578393327,92.34047726020174,279.0435834181182,3,6,5.117636713175489,0.0,0.0,poisson,,
standard,25.31511902731061,3.2259970345565634,3.742407361553572,11,12,41.215714242444136,50.43950507766613,445.8173772989993,8,7,10.546606928184104,0.0,0.0,poisson,,
standard,24.14572987634627,7.815606157504179,2.3240647602419306,12,15,10.606264339419727,130.30416700948223,284.1910222239548,4,11,2.4668275140963805,0.0,0.0,poisson,,
standard,16.33216717124494,6.3199443024646875,2.3446563833598257,8,10,15.249260871684601,128.2770497579555,399.99349673980015,3,8,2.99185390232216,0.0,0.0,poisson,,
standard,14.977629263375265,4.874130809377011,1.621041001222951,17,11,42.92212026880662,68.90334347179686,272.0892602740563,4,10,2.380196500628564,0.0,0.0,poisson,,
standard,16.603412573743164,2.0035028488894033,1.9495572369898997,11,11,14.276344233786379,90.65256664278105,440.59271506843487,9,9,3.759237014245179,0.0,0.0,poisson,,
standard,16.27707636629452,3.0828149318287776,3.622687278155188,19,5,36.55405826540064,131.81939200330135,423.78025045786603,6,5,3.0603008226952264,0.0,0.0,poisson,,
standard,10.4994158588372,7.812747426528485,3.9561602918202556,8,15,52.68211734956943,103.72645189053453,498.7672240892328,2,3,3.487033311115103,0.0,0.0,poisson,,
standard,8.450118666502659,5.754713695130255,1.7582649649734945,7,6,39.55518243468502,82.33587425206012,205.49525309567014,2,5,6.573150012999504,0.0,0.0,poisson,,
standard,11.219284498393819,7.912915949978094,2.2241135030101487,15,15,51.6451116905276,105.50134993130854,386.8159203101635,2,6,2.217960652505474,0.0,0.0,poisson,,
standard,16.714985930985716,5.927382025354438,3.4439189375434576,16,14,26.851269714233723,57.56363991557336,436.30120364900154,3,5,11.7260454055779,0.0,0.0,poisson,,
standard,15.39512749127638,3.691422477589213,1.7732218558187247,15,11,57.250409396748864,78.31922056889299,415.9332321258868,5,9,4.35657321543929,0.0,0.0,poisson,,
standard,9.102173706911923,5.119056961514555,3.404711726809289,5,10,38.47336344941212,109.22869844613325,378.70361207535404,2,3,6.71414160472005,0.0,0.0,poisson,,
standard,17.470111952232443,4.176911102878502,3.5073804062339002,7,12,28.527029723989198,78.30546494257081,397.9617214910269,5,6,1.8609057226805559,0.0,0.0,poisson,,
standard,11.751470555064826,4.293831457523957,1.817834086762715,12,9,53.90142816023997,103.08018900518539,286.0453795290015,3,7,5.4304655162064375,0.0,0.0,poisson,,
standard,18.545392216810953,7.9172979772732965,3.5972196905381377,11,11,56.83625505016579,106.81061746185469,403.3905776207264,3,6,2.104861261081591,0.0,0.0,poisson,,
standard,13.184282603608562,5.741588523717751,2.8381047269861757,5,10,44.932606393998626,128.91480192603075,293.87756994267477,3,5,3.704942647216451,0.0,0.0,poisson,,
standard,6.116830503774109,3.7474009167086733,1.6294994508085128,17,9,16.6957895685262,137.0636144909496,305.7666585721004,2,4,6.3971338558852775,0.0,0.0,poisson,,
standard,9.849764415119491,6.986555129077134,3.2253594833963644,16,4,47.02255723044977,107.29895344962532,210.25690841051897,2,4,2.0033896874885295,0.0,0.0,poisson,,
standard,20.400457527772282,7.5319196016372025,2.9618081003580183,18,8,44.41892877963111,67.51932036804365,416.736523280087,3,7,11.780391425283671,0.0,0.0,poisson,,
standard,16.185191949114085,2.1526851590708436,2.350273107556335,8,7,41.98990539517219,105.07248139974243,216.48841006111695,8,7,10.966579669686062,0.0,0.0,poisson,,
standard,7.9251442797435,2.6835605033326493,3.419552470208256,18,13,33.88666198221473,101.63083243352918,207.18947589347422,3,3,22.29877742994228,0.0,0.0,poisson,,
standard,5.037305615116196,6.574529487541356,1.7908097813810322,5,6,56.632035797620055,138.05985349927963,205.0253028449943,1,3,8.713645685779056,0.0,0.0,poisson,,
standard,23.88165143930691,5.620967152311608,3.648165128920181,18,10,32.398542298424516,125.48011010646167,276.76131936692957,5,7,3.1148053726582203,0.0,0.0,poisson,,
standard,22.13276053220942,3.4419336049117524,3.656594401601096,7,11,10.563803794871747,58.35713359090286,355.8099698516147,7,7,2.580555524998232,0.0,0.0,poisson,,
standard,10.530094175310897,3.8384698754259654,1.0154679397922324,20,12,25.09017059103401,56.60548130603177,300.0457819577753,3,11,5.784765431458654,0.0,0.0,poisson,,
standard,24.406101933329502,4.8412537221641845,3.6092541977055745,12,7,59.27088473024371,55.94766622935185,217.39014583174588,6,7,4.8944893702477605,0.0,0.0,poisson,,
standard,10.046555245672254,5.292331183292751,2.030348109738638,5,8,58.94322740532209,141.1749183169834,320.289141760784,2,5,28.576300978676507,0.0,0.0,poisson,,
standard,18.99137803224548,6.569405822345128,3.872561093601775,5,10,46.95309892802406,148.7744755611398,291.8225920766689,3,5,18.881334442585626,0.0,0.0,poisson,,
standard,15.137667856647647,6.514525626859912,1.25683570312236,18,14,34.4323066556141,129.94458422605578,267.89315976356073,3,13,2.5950422748957847,0.0,0.0,poisson,,
standard,15.30316175296296,2.9542614967397762,1.8016393886403401,7,9,35.76206983522603,82.37665075422191,389.7377875655706,6,9,3.302099086509253,0.0,0.0,poisson,,
standard,18.45092820556115,2.4014763050605623,3.8469223037922102,16,12,13.897810778402622,52.47881363114196,352.94141197950233,8,5,7.857050103475174,0.0,0.0,poisson,,
standard,48.56225395916032,5.077421864568205,3.4915582705947066,15,14,31.65352074198147,104.61850248876402,447.2280073273671,10,14,13.043237180029305,0.0,0.0,poisson,,
standard,31.4278984677608,3.0736735259763703,3.3798729698054455,20,11,50.47553591212255,62.74455144979848,294.4018235806882,11,10,2.66988058906837,0.0,0.0,poisson,,
standard,14.120028043779138,7.42697766574745,3.7681694756233193,14,12,57.45365995297443,116.19911938672264,304.96672120930833,2,4,13.191609647973067,0.0,0.0,poisson,,
standard,6.505213843650485,4.841003257616397,2.458937691420261,17,7,13.779300271031506,69.75484697937034,485.71800270236,2,3,3.6513624873664408,0.0,0.0,poisson,,
standard,9.627404253661883,6.90225067486245,3.8501471237084393,15,13,35.71173224190041,137.77619686882755,254.93852405790946,2,3,2.758153982314453,0.0,0.0,poisson,,
standard,9.094902624607974,5.79765336966188,2.4117246116912554,10,9,10.17043517501525,98.70648212531593,211.95697040941525,2,4,6.013960702310035,0.0,0.0,poisson,,
standard,12.198470629197278,7.457623824675772,3.4639312555469246,10,6,35.98286996793657,114.5249570865738,444.130892169478,2,4,4.007362720389102,0.0,0.0,poisson,,
standard,16.619426850914635,6.942385348639168,3.2342140693179955,17,12,53.91834908097908,63.6366748174692,264.17956747496027,3,6,2.2568068440096885,0.0,0.0,poisson,,
standard,15.011846904509044,3.460615032447177,2.194822348509123,13,10,59.713645102661644,58.6259060545545,262.13592879238155,5,7,7.601847312583285,0.0,0.0,poisson,,
standard,28.37835786460229,5.677571616574948,3.2063451673271155,19,11,27.314718871634753,87.98308533632022,267.01804310822496,6,9,7.39251696781615,0.0,0.0,poisson,,
standard,8.645324342872238,6.389022207946867,1.7051854329144653,9,8,36.169934730495584,107.59773191123637,396.2135890580339,2,6,2.2462873618373145,0.0,0.0,poisson,,
