alpha,beta,gamma,val_loss
1.0,0.5,0.5,5.809579700231552
1.0,0.5,1.0,6.699958801269531
1.0,0.5,1.5,7.527240514755249
1.0,0.5,2.0,8.30379432439804
1.0,0.5,2.5,9.227497309446335
1.0,0.5,3.0,10.323992490768433
1.0,1.0,0.5,5.943956762552261
1.0,1.0,1.0,6.90485954284668
1.0,1.0,1.5,7.91062930226326
1.0,1.0,2.0,8.40514412522316
1.0,1.0,2.5,8.764074951410294
1.0,1.0,3.0,9.362303912639618
1.0,1.5,0.5,5.815267264842987
1.0,1.5,1.0,6.673619657754898
1.0,1.5,1.5,7.713500380516052
1.0,1.5,2.0,8.34495085477829
1.0,1.5,2.5,9.313959777355194
1.0,1.5,3.0,10.211175978183746
1.0,2.0,0.5,6.228424549102783
1.0,2.0,1.0,6.886018306016922
1.0,2.0,1.5,7.53566238284111
1.0,2.0,2.0,8.353717535734177
1.0,2.0,2.5,9.399403989315033
1.0,2.0,3.0,9.17634704709053
1.0,2.5,0.5,5.769929826259613
1.0,2.5,1.0,6.928855150938034
1.0,2.5,1.5,7.6764136254787445
1.0,2.5,2.0,8.552066922187805
1.0,2.5,2.5,9.082069844007492
1.0,2.5,3.0,10.361730635166168
1.0,3.0,0.5,6.080395668745041
1.0,3.0,1.0,7.055145055055618
1.0,3.0,1.5,7.924141615629196
1.0,3.0,2.0,8.514309853315353
1.0,3.0,2.5,9.201448529958725
1.0,3.0,3.0,9.780299186706543
