scenario,lambda,mu_nurse,mu_doctor,s_nurse_max,s_doctor_max,Tmax,nurse_price,doctor_price,optimal_nurses,optimal_doctors,min_cost
small_non_emergency,10.23,5.15,7.79,5,3,2.0,100,300,3,3,1200
small_non_emergency,8.22,5.48,7.83,5,3,2.0,100,300,3,3,1200
small_non_emergency,3.21,5.2,6.64,5,3,2.0,100,300,2,2,800
small_non_emergency,6.87,3.85,7.01,5,3,2.0,100,300,3,2,900
small_non_emergency,11.9,3.46,7.14,5,3,2.0,100,300,5,3,1400
small_non_emergency,6.68,3.08,6.76,5,3,2.0,100,300,4,2,1000
small_non_emergency,7.04,3.24,5.19,5,3,2.0,100,300,4,3,1300
small_non_emergency,2.62,4.0,7.28,5,3,2.0,100,300,2,2,800
small_non_emergency,2.54,4.09,7.04,5,3,2.0,100,300,2,2,800
small_non_emergency,2.38,3.72,5.88,5,3,2.0,100,300,2,2,800
small_non_emergency,3.69,5.0,6.26,5,3,2.0,100,300,2,2,800
small_non_emergency,2.17,5.38,7.85,5,3,2.0,100,300,2,2,800
small_non_emergency,7.08,5.45,6.51,5,3,2.0,100,300,3,3,1200
small_non_emergency,3.52,4.94,5.43,5,3,2.0,100,300,2,2,800
small_non_emergency,4.05,3.82,7.18,5,3,2.0,100,300,3,2,900
small_non_emergency,7.38,5.48,6.27,5,3,2.0,100,300,3,3,1200
small_non_emergency,7.02,5.12,5.01,5,3,2.0,100,300,3,3,1200
small_non_emergency,9.27,3.24,5.35,5,3,2.0,100,300,5,3,1400
small_non_emergency,4.8,4.82,5.28,5,3,2.0,100,300,2,2,800
small_non_emergency,11.53,3.41,7.65,5,3,2.0,100,300,5,3,1400
small_non_emergency,7.08,3.37,5.64,5,3,2.0,100,300,4,3,1300
small_non_emergency,5.14,4.54,5.32,5,3,2.0,100,300,3,2,900
small_non_emergency,10.63,5.92,5.24,5,3,2.0,100,300,4,3,1300
small_non_emergency,7.88,5.74,7.7,5,3,2.0,100,300,3,3,1200
small_non_emergency,10.49,4.32,7.44,5,3,2.0,100,300,4,3,1300
small_non_emergency,7.59,3.28,5.65,5,3,2.0,100,300,4,3,1300
small_non_emergency,4.8,3.73,7.34,5,3,2.0,100,300,3,2,900
small_non_emergency,7.81,5.56,6.99,5,3,2.0,100,300,3,3,1200
small_non_emergency,6.3,3.95,7.28,5,3,2.0,100,300,3,2,900
small_non_emergency,8.99,5.73,6.21,5,3,2.0,100,300,3,3,1200
small_non_emergency,1.37,4.48,7.39,5,3,2.0,100,300,2,2,800
small_non_emergency,9.28,5.54,6.84,5,3,2.0,100,300,3,3,1200
small_non_emergency,10.3,3.26,7.78,5,3,2.0,100,300,5,3,1400
small_non_emergency,9.45,4.27,7.26,5,3,2.0,100,300,4,3,1300
small_non_emergency,8.33,5.06,6.35,5,3,2.0,100,300,3,3,1200
small_non_emergency,4.95,3.28,5.85,5,3,2.0,100,300,3,2,900
small_non_emergency,1.4,4.2,7.76,5,3,2.0,100,300,2,2,800
small_non_emergency,10.42,5.12,5.38,5,3,2.0,100,300,4,3,1300
small_non_emergency,5.83,5.61,5.62,5,3,2.0,100,300,3,3,1200
small_non_emergency,4.67,5.42,6.38,5,3,2.0,100,300,2,2,800
small_non_emergency,9.4,3.29,5.49,5,3,2.0,100,300,5,3,1400
small_non_emergency,9.34,3.74,7.22,5,3,2.0,100,300,4,3,1300
small_non_emergency,6.28,4.75,5.62,5,3,2.0,100,300,3,3,1200
small_non_emergency,1.28,3.64,7.95,5,3,2.0,100,300,2,2,800
small_non_emergency,10.99,3.07,7.4,5,3,2.0,100,300,5,3,1400
small_non_emergency,1.97,3.51,6.97,5,3,2.0,100,300,2,2,800
small_non_emergency,10.02,3.41,7.4,5,3,2.0,100,300,5,3,1400
small_non_emergency,3.58,4.11,7.34,5,3,2.0,100,300,2,2,800
small_non_emergency,10.7,5.66,6.3,5,3,2.0,100,300,3,3,1200
small_non_emergency,4.36,3.58,6.31,5,3,2.0,100,300,3,2,900
small_non_emergency,7.14,4.31,6.96,5,3,2.0,100,300,3,3,1200
small_non_emergency,3.31,3.66,5.29,5,3,2.0,100,300,2,2,800
small_non_emergency,2.88,4.07,5.38,5,3,2.0,100,300,2,2,800
small_non_emergency,7.18,3.75,5.44,5,3,2.0,100,300,3,3,1200
small_non_emergency,8.31,3.12,5.49,5,3,2.0,100,300,4,3,1300
small_non_emergency,9.05,3.12,6.31,5,3,2.0,100,300,5,3,1400
small_non_emergency,10.37,5.16,7.02,5,3,2.0,100,300,4,3,1300
small_non_emergency,9.45,3.29,5.69,5,3,2.0,100,300,5,3,1400
small_non_emergency,3.92,3.73,7.24,5,3,2.0,100,300,3,2,900
small_non_emergency,9.39,4.55,5.51,5,3,2.0,100,300,4,3,1300
small_non_emergency,9.84,3.12,7.16,5,3,2.0,100,300,5,3,1400
small_non_emergency,2.88,5.77,6.17,5,3,2.0,100,300,2,2,800
small_non_emergency,0.83,4.33,5.33,5,3,2.0,100,300,2,2,800
small_non_emergency,4.82,3.86,6.74,5,3,2.0,100,300,3,2,900
small_non_emergency,3.09,4.38,5.68,5,3,2.0,100,300,2,2,800
small_non_emergency,11.98,3.61,6.69,5,3,2.0,100,300,5,3,1400
small_non_emergency,4.13,4.2,5.23,5,3,2.0,100,300,2,2,800
small_non_emergency,11.71,4.35,6.19,5,3,2.0,100,300,5,3,1400
small_non_emergency,3.25,3.99,7.48,5,3,2.0,100,300,2,2,800
small_non_emergency,5.41,5.83,7.12,5,3,2.0,100,300,2,2,800
